City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Margate,GB,2022-09-17 19:17:21,51.3813,1.3862,57.87,54,74,5.99
274,Matay,EG,2022-09-17 19:21:13,28.419,30.7792,82.42,29,0,4.94
275,Ixtapa,MX,2022-09-17 19:21:13,20.7,-105.2,87.22,74,40,8.05
276,Aklavik,CA,2022-09-17 19:21:13,68.2191,-135.0107,48.2,76,40,4.61
277,Souillac,MU,2022-09-17 19:21:14,-20.5167,57.5167,71.98,73,40,18.41
278,Rosetta,EG,2022-09-17 19:21:14,31.4044,30.4164,76.48,63,0,8.19
279,Japura,ID,2022-09-17 19:21:15,-0.3167,102.35,73.4,97,99,2.39
280,Beloha,MG,2022-09-17 19:21:15,-25.1667,45.05,69.57,56,24,6.42
281,Lapa,BR,2022-09-17 19:21:15,-25.7697,-49.7158,60.76,59,0,10.07
282,Muborak,UZ,2022-09-17 19:21:16,39.2553,65.1528,74.62,20,2,9.73
283,Waipawa,NZ,2022-09-17 19:21:16,-41.4122,175.5153,41.81,87,6,4.47
284,Faanui,PF,2022-09-17 19:21:17,-16.4833,-151.75,78.24,68,4,19.3
285,Buala,SB,2022-09-17 19:21:17,-8.145,159.5921,79.11,83,33,2.33
286,Glotovka,RU,2022-09-17 19:21:17,53.9491,46.7042,55.18,66,100,4.25
287,Brigg,GB,2022-09-17 19:21:18,53.552,-0.4921,59.25,61,40,9.22
288,Vancouver,CA,2022-09-17 19:16:39,49.2497,-123.1193,65.35,64,75,14.97
289,Isangel,VU,2022-09-17 19:21:18,-19.55,169.2667,73.81,85,80,10.22
290,Acapulco,MX,2022-09-17 19:20:29,16.8634,-99.8901,75.02,94,100,4.61
291,Sao Joao Da Barra,BR,2022-09-17 19:21:19,-21.6403,-41.0511,69.89,61,97,14.27
292,Tiksi,RU,2022-09-17 19:21:19,71.6872,128.8694,35.15,96,99,6.62
