City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Tarko-Sale,RU,64.9225,77.785,40.68,54,70,5.82,broken clouds
234,Ostrovnoy,RU,68.0531,39.5131,47.68,97,97,21.14,light rain
235,Bac Lieu,VN,9.285,105.7244,85.98,65,99,19.35,overcast clouds
236,College,US,64.8569,-147.8028,50.07,90,75,8.05,moderate rain
237,Catamarca,AR,-28.4696,-65.7852,58.59,65,2,6.49,clear sky
238,Cozumel,MX,20.5083,-86.9458,75.94,93,1,7.43,clear sky
239,Kovur,IN,14.4833,79.9833,91.51,44,100,15.57,overcast clouds
240,Roald,NO,62.5833,6.1333,44.76,93,20,2.3,few clouds
241,Taltal,CL,-25.4,-70.4833,53.29,84,12,2.33,few clouds
242,Tarabuco,BO,-19.1667,-64.9167,47.46,84,67,4.21,broken clouds
243,Bethel,US,41.3712,-73.414,66.49,87,40,0.0,scattered clouds
244,Palana,RU,59.1167,159.9667,47.3,70,100,26.96,overcast clouds
245,Wasilla,US,61.5814,-149.4394,51.89,93,100,5.75,light rain
246,Seoul,KR,37.5683,126.9778,74.59,39,0,5.75,clear sky
247,Castro,BR,-24.7911,-50.0119,54.97,97,100,3.71,overcast clouds
248,Hirtshals,DK,57.5881,9.9592,52.86,70,0,13.29,clear sky
249,Adrar,MR,20.5022,-10.0711,86.67,28,99,11.32,overcast clouds
250,Juliaca,PE,-15.5,-70.1333,42.78,53,4,4.9,clear sky
251,Mattawa,US,46.7379,-119.9028,62.02,38,0,8.08,clear sky
252,Zyryanka,RU,65.75,150.85,43.54,65,100,11.5,overcast clouds
253,Kamina,CD,-8.7386,24.9906,76.86,54,25,1.95,scattered clouds
254,Camacha,PT,33.0833,-16.3333,69.22,78,75,6.91,broken clouds
255,Mookane,BW,-23.688,26.6595,60.37,36,58,9.51,broken clouds
256,Luderitz,NA,-26.6481,15.1594,55.47,54,0,11.74,clear sky
